================================================================================
RELATÓRIO DE SEPARAÇÃO DE DATASET
================================================================================
Data/Hora: 2026-02-13 16:38:13

RESUMO GERAL
--------------------------------------------------------------------------------
Arquivos Train: 1350
Arquivos Test: 150
Arquivos Não Encontrados: 0
Total Catálogo: 1500
Sucesso: 100.00%

ARQUIVOS TRAIN
--------------------------------------------------------------------------------
Total: 1350 arquivos

  ✓ 20260101_061707_baia24_VIPWX.jpg
  ✓ 20260101_062713_baia20_IPC2.jpg
  ✓ 20260101_062818_baia20_IPC2.jpg
  ✓ 20260101_062904_baia23_VIPWX.jpg
  ✓ 20260101_063014_baia23_VIPWX.jpg
  ✓ 20260101_063022_baia19_IPC2.jpg
  ✓ 20260101_063104_baia23_VIPWX.jpg
  ✓ 20260101_063110_baia20_IPC2.jpg
  ✓ 20260101_063310_baia19_IPC2.jpg
  ✓ 20260101_063404_baia23_VIPWX.jpg
  ✓ 20260101_063411_baia20_IPC2.jpg
  ✓ 20260101_063510_baia20_IPC2.jpg
  ✓ 20260101_064511_baia21_IPC2.jpg
  ✓ 20260101_064603_baia24_VIPWX.jpg
  ✓ 20260101_064610_baia19_IPC2.jpg
  ✓ 20260101_064610_baia21_IPC2.jpg
  ✓ 20260101_064711_baia19_IPC2.jpg
  ✓ 20260101_064910_baia19_IPC2.jpg
  ✓ 20260101_064910_baia21_IPC2.jpg
  ✓ 20260101_065012_baia19_IPC2.jpg
  ✓ 20260101_065012_baia21_IPC2.jpg
  ✓ 20260101_065016_baia13_IPC3.jpg
  ✓ 20260101_065117_baia21_IPC2.jpg
  ✓ 20260101_065210_baia21_IPC2.jpg
  ✓ 20260101_065214_baia13_IPC3.jpg
  ✓ 20260101_065305_baia24_VIPWX.jpg
  ✓ 20260101_065312_baia19_IPC2.jpg
  ✓ 20260101_065312_baia21_IPC2.jpg
  ✓ 20260101_065422_baia19_IPC2.jpg
  ✓ 20260101_065511_baia21_IPC2.jpg
  ✓ 20260101_065711_baia19_IPC2.jpg
  ✓ 20260101_065711_baia21_IPC2.jpg
  ✓ 20260101_070213_baia18_IPC1.jpg
  ✓ 20260101_070216_baia17_IPC2.jpg
  ✓ 20260101_070318_baia21_IPC2.jpg
  ✓ 20260101_070407_baia17_IPC1.jpg
  ✓ 20260101_070407_baia18_IPC1.jpg
  ✓ 20260101_070518_baia17_IPC2.jpg
  ✓ 20260101_070810_baia18_IPC1.jpg
